,angle,VV_db,VV_db2,VV_var_db,VV_var_db2,GPM,P6d
2020-12-12,35.12698745727539,-17.53292809904661,-19.71173745126456,-37.56816529539021,-35.98489079267653,4.577625465579331,0.476
2020-12-18,35.13814544677734,-19.71173745126456,-19.17992341566588,-35.98489079267653,-39.99881283504023,0.015722034499049187,0.0
2020-12-18,35.13814544677734,-19.71173745126456,-19.17992341566588,-35.98489079267653,-39.99881283504023,0.015722034499049187,0.0
2020-01-05,34.2636604309082,-14.55621109876559,-15.23578563244112,-37.85099999050757,-37.22615217837568,0.06751079728292098,0.0
2020-01-11,34.26616287231445,-15.23578563244112,-14.36188534023266,-37.22615217837568,-34.09693562898367,1.385220974101685,0.0
2020-01-11,34.26616287231445,-15.23578563244112,-14.36188534023266,-37.22615217837568,-34.09693562898367,1.385220974101685,0.0
2020-01-17,34.26291656494141,-14.36188534023266,-15.06650692742903,-34.09693562898367,-39.03274988167485,0.06442946302558994,0.0
2020-01-17,34.26291656494141,-14.36188534023266,-15.06650692742903,-34.09693562898367,-39.03274988167485,0.06442946302558994,0.0
2020-01-23,34.26611709594727,-15.06650692742903,-15.94689914400923,-39.03274988167485,-39.36297523246552,0.0,0.0
2020-01-23,34.26611709594727,-15.06650692742903,-15.94689914400923,-39.03274988167485,-39.36297523246552,0.0,0.0
2020-01-29,34.25707244873047,-15.94689914400923,-14.76397093755354,-39.36297523246552,-37.31925935808299,0.0014805911923758686,0.0
2020-01-29,34.25707244873047,-15.94689914400923,-14.76397093755354,-39.36297523246552,-37.31925935808299,0.0014805911923758686,0.0
2020-02-04,34.26905059814453,-14.76397093755354,-15.51158186438697,-37.31925935808299,-34.43129731995563,0.11316034896299243,0.0
2020-02-04,34.26905059814453,-14.76397093755354,-15.51158186438697,-37.31925935808299,-34.43129731995563,0.11316034896299243,0.0
2020-02-10,34.25704193115234,-15.51158186438697,-15.58391902267648,-34.43129731995563,-36.10001381847289,2.5064174930448644,0.0
2020-02-10,34.25704193115234,-15.51158186438697,-15.58391902267648,-34.43129731995563,-36.10001381847289,2.5064174930448644,0.0
2020-02-16,34.26771926879883,-15.58391902267648,-14.9747991318526,-36.10001381847289,-39.21684509800635,0.1418801078107208,0.0
2020-02-16,34.26771926879883,-15.58391902267648,-14.9747991318526,-36.10001381847289,-39.21684509800635,0.1418801078107208,0.0
2020-02-22,34.25660705566406,-14.9747991318526,-15.64147523356985,-39.21684509800635,-35.75294966592195,0.9306931793689728,0.0
2020-02-22,34.25660705566406,-14.9747991318526,-15.64147523356985,-39.21684509800635,-35.75294966592195,0.9306931793689728,0.0
2020-02-28,34.26741409301758,-15.64147523356985,-14.63403213950351,-35.75294966592195,-29.19166470976151,14.903699955902994,0.0
2020-02-28,34.26741409301758,-15.64147523356985,-14.63403213950351,-35.75294966592195,-29.19166470976151,14.903699955902994,0.0
2020-03-05,34.25629043579102,-14.63403213950351,-14.25239601973449,-29.19166470976151,-34.52424313831153,28.420945888850838,0.0
2020-03-05,34.25629043579102,-14.63403213950351,-14.25239601973449,-29.19166470976151,-34.52424313831153,28.420945888850838,0.0
2020-03-11,34.26682281494141,-14.25239601973449,-13.53106976784034,-34.52424313831153,-36.78820075152825,21.147888873354532,0.0
2020-03-11,34.26682281494141,-14.25239601973449,-13.53106976784034,-34.52424313831153,-36.78820075152825,21.147888873354532,0.0
2020-03-17,34.25489044189453,-13.53106976784034,-12.62990099754861,-36.78820075152825,-31.31683549809519,17.7969040827993,0.0
2020-03-17,34.25489044189453,-13.53106976784034,-12.62990099754861,-36.78820075152825,-31.31683549809519,17.7969040827993,0.0
2020-03-23,34.26591873168945,-12.62990099754861,-9.771953869453771,-31.31683549809519,-30.27041139989429,28.47862819398142,0.0
2020-03-23,34.26591873168945,-12.62990099754861,-9.771953869453771,-31.31683549809519,-30.27041139989429,28.47862819398142,0.0
2020-03-29,34.25386428833008,-9.771953869453771,-12.21031962713452,-30.27041139989429,-28.28549218621581,36.509342451696284,0.0
2020-03-29,34.25386428833008,-9.771953869453771,-12.21031962713452,-30.27041139989429,-28.28549218621581,36.509342451696284,0.0
2020-04-04,34.26568603515625,-12.21031962713452,-14.12185166878241,-28.28549218621581,-28.67222795402411,5.317601634655148,0.0
2020-04-04,34.26568603515625,-12.21031962713452,-14.12185166878241,-28.28549218621581,-28.67222795402411,5.317601634655148,0.0
2020-04-10,34.25947570800781,-14.12185166878241,-12.93929776630262,-28.67222795402411,-33.6400306197413,22.38521323977101,0.0
2020-04-10,34.25947570800781,-14.12185166878241,-12.93929776630262,-28.67222795402411,-33.6400306197413,22.38521323977101,0.0
2020-04-16,34.27067565917969,-12.93929776630262,-13.90109627210216,-33.6400306197413,-41.89065067949474,9.779246006452013,0.0
2020-04-16,34.27067565917969,-12.93929776630262,-13.90109627210216,-33.6400306197413,-41.89065067949474,9.779246006452013,0.0
2020-04-22,34.25832366943359,-13.90109627210216,-12.94163555617973,-41.89065067949474,-36.45012691606008,25.653309153691225,0.0
2020-04-22,34.25832366943359,-13.90109627210216,-12.94163555617973,-41.89065067949474,-36.45012691606008,25.653309153691225,0.0
2020-04-28,34.27208709716797,-12.94163555617973,-12.90049875453766,-36.45012691606008,-34.5087028621065,30.609965465817368,0.0
2020-04-28,34.27208709716797,-12.94163555617973,-12.90049875453766,-36.45012691606008,-34.5087028621065,30.609965465817368,0.0
2020-05-04,34.25931549072266,-12.90049875453766,-8.327219365695647,-34.5087028621065,-26.95499256485358,10.025955096978578,23.769
2020-05-04,34.25931549072266,-12.90049875453766,-8.327219365695647,-34.5087028621065,-26.95499256485358,10.025955096978578,23.769
2020-05-10,34.27243804931641,-8.327219365695647,-10.0784600441949,-26.95499256485358,-30.04859108806231,44.386308196000755,19.527
2020-05-10,34.27243804931641,-8.327219365695647,-10.0784600441949,-26.95499256485358,-30.04859108806231,44.386308196000755,19.527
2020-05-16,34.25917434692383,-10.0784600441949,-13.7027796855556,-30.04859108806231,-37.38495974234968,47.905045943160076,55.265
2020-05-16,34.25917434692383,-10.0784600441949,-13.7027796855556,-30.04859108806231,-37.38495974234968,47.905045943160076,55.265
2020-05-22,34.27127456665039,-13.7027796855556,-9.829599625096668,-37.38495974234968,-27.52408631251301,48.31187801857595,146.311
2020-05-22,34.27127456665039,-13.7027796855556,-9.829599625096668,-37.38495974234968,-27.52408631251301,48.31187801857595,146.311
2020-05-28,34.2592658996582,-9.829599625096668,-11.7299337439761,-27.52408631251301,-33.5096508689101,77.34999456045625,120.977
2020-05-28,34.2592658996582,-9.829599625096668,-11.7299337439761,-27.52408631251301,-33.5096508689101,77.34999456045625,120.977
2020-06-03,34.26910781860352,-11.7299337439761,-10.82591812622048,-33.5096508689101,-26.64511999438001,12.964893447526265,8.847
2020-06-03,34.26910781860352,-11.7299337439761,-10.82591812622048,-33.5096508689101,-26.64511999438001,12.964893447526265,8.847
2020-06-09,34.2601432800293,-10.82591812622048,-11.81728547819189,-26.64511999438001,-29.25670292513223,76.85108464257792,55.564
2020-06-09,34.2601432800293,-10.82591812622048,-11.81728547819189,-26.64511999438001,-29.25670292513223,76.85108464257792,55.564
2020-06-15,34.27068328857422,-11.81728547819189,-11.18651278113798,-29.25670292513223,-25.46562986056178,65.81273947603768,106.927
2020-06-15,34.27068328857422,-11.81728547819189,-11.18651278113798,-29.25670292513223,-25.46562986056178,65.81273947603768,106.927
2020-06-27,34.26998138427734,-11.18651278113798,-12.07572621480613,-25.46562986056178,-32.33555994285033,23.92480439959968,11.459
2020-06-27,34.26998138427734,-11.18651278113798,-12.07572621480613,-25.46562986056178,-32.33555994285033,23.92480439959968,11.459
2020-07-03,34.25761413574219,-12.07572621480613,-11.25331630299924,-32.33555994285033,-30.96407440851172,10.123516733117867,24.569
2020-07-03,34.25761413574219,-12.07572621480613,-11.25331630299924,-32.33555994285033,-30.96407440851172,10.123516733117867,24.569
2020-07-09,34.26871871948242,-11.25331630299924,-13.34887697631738,-30.96407440851172,-31.84956473285951,23.0713481483981,18.286
2020-07-09,34.26871871948242,-11.25331630299924,-13.34887697631738,-30.96407440851172,-31.84956473285951,23.0713481483981,18.286
2020-07-15,34.25659561157227,-13.34887697631738,-11.57177136022044,-31.84956473285951,-30.64933930515467,7.401316864416003,0.0
2020-07-15,34.25659561157227,-13.34887697631738,-11.57177136022044,-31.84956473285951,-30.64933930515467,7.401316864416003,0.0
2020-07-21,34.27027130126953,-11.57177136022044,-11.49337879155238,-30.64933930515467,-32.68006405918597,20.147293877787888,45.97999999999999
2020-07-21,34.27027130126953,-11.57177136022044,-11.49337879155238,-30.64933930515467,-32.68006405918597,20.147293877787888,45.97999999999999
2020-07-27,34.25305557250977,-11.49337879155238,-14.08095731940882,-32.68006405918597,-39.15630335484976,0.008433481212705374,0.102
2020-07-27,34.25305557250977,-11.49337879155238,-14.08095731940882,-32.68006405918597,-39.15630335484976,0.008433481212705374,0.102
2020-08-02,34.27039337158203,-14.08095731940882,-12.07103573686064,-39.15630335484976,-34.2600388602625,0.007182934932643548,0.085
2020-08-02,34.27039337158203,-14.08095731940882,-12.07103573686064,-39.15630335484976,-34.2600388602625,0.007182934932643548,0.085
2020-08-08,34.25804901123047,-12.07103573686064,-13.25506168040766,-34.2600388602625,-38.23920048799709,0.0,0.0
2020-08-08,34.25804901123047,-12.07103573686064,-13.25506168040766,-34.2600388602625,-38.23920048799709,0.0,0.0
2020-08-14,34.26885986328125,-13.25506168040766,-14.19162545788243,-38.23920048799709,-35.43314555970894,11.850122031057253,1.207
2020-08-14,34.26885986328125,-13.25506168040766,-14.19162545788243,-38.23920048799709,-35.43314555970894,11.850122031057253,1.207
2020-08-20,34.2586555480957,-14.19162545788243,-14.5015973100323,-35.43314555970894,-29.00000179603543,0.619627143059521,1.106
2020-08-20,34.2586555480957,-14.19162545788243,-14.5015973100323,-35.43314555970894,-29.00000179603543,0.619627143059521,1.106
